compactness_C,proximity_P,productivity_R
1.2732395447351623,1.7250503095011367,5.778947368421052
1.2732395447351625,1.6658896168480437,5.484536082474227
1.2732395447351625,1.7068596021544213,5.577319587628866
1.2732395447351625,1.7324641714349405,5.817204301075269
1.2732395447351625,1.882208772915459,6.181818181818182
1.2732395447351625,1.9290104926206153,6.295454545454546
1.2732395447351625,2.3542149899048517,6.376470588235295
1.2732395447351625,2.3636857597607794,6.583333333333333
1.2732395447351625,2.8441914753213626,6.6
1.2732395447351625,3.0345391049917096,6.635294117647059
1.2732395447351625,3.3223802414914267,6.821428571428571
1.2732395447351628,3.0774603986441766,6.759036144578313
1.2732395447351628,3.3289973045276695,6.879518072289157
1.273239544735163,1.4944026796344896,4.990654205607477
1.273239544735163,1.5480362796390084,5.144230769230769
1.273239544735163,2.883593318386987,6.7439024390243905
1.273239544735163,2.9310405768751724,6.7926829268292686
1.2732395447351632,1.56027102410494,5.233009708737864
1.2732395447351632,1.6255988055273443,5.281553398058253
1.2732395447351632,1.6575052180270082,5.3232323232323235
1.2732395447351632,1.8640899408744886,5.956521739130435
1.2763602298938277,1.5294876209796504,5.267326732673268
1.2769408224814864,2.1707851600976293,6.517647058823529
1.2770289481421127,2.334725150124971,6.542168674698795
1.2770289481421127,3.118485868836032,6.855421686746988
1.280235366409532,1.8116362704096314,6.033707865168539
1.2806421002278094,2.1083140139997747,6.4226190476190474
1.2808183515490623,2.4787810027616155,6.701219512195122
1.2808183515490625,2.2489871514313475,6.621951219512195
1.2808183515490625,3.1129168182185065,6.902439024390244
1.2809096624745315,2.913556939186372,6.790123456790123
1.2833983708899652,1.6381863671438184,5.857142857142857
1.2843433779741324,1.7818315537862905,6.36144578313253
1.2843433779741324,1.851643927167295,6.397590361445783
1.2844740113063555,2.095784824707284,6.524390243902439
1.2844740113063555,3.7473875984749725,6.932926829268292
1.2859719401825151,1.5148178577063216,5.385416666666667
1.2867846462748989,1.743284263660223,5.866666666666666
1.2875456070355575,1.7812169712620918,6.264705882352941
1.2883971583629623,2.072046293918794,6.66875
1.2919636556871503,2.4905736930789057,6.7375
1.2919636556871505,2.6614261674609105,6.75
1.2921490429242992,1.505086308735833,5.278350515463917
1.2921865617699124,3.74195027843382,6.993670886075949
1.2921865617699126,2.117480939184214,6.6835443037974684
1.295521236768029,1.509830823123471,5.389473684210526
1.2957084778775476,1.9973336655550036,6.5
1.2957084778775476,2.693787149682948,6.772151898734177
1.2957084778775476,3.6179665289830334,6.936708860759493
1.2959759651768623,3.755461754707944,7.012820512820513
1.2962498979532677,2.9118878270876123,6.883116883116883
1.2962498979532677,3.179001157904186,6.924050632911392
1.2962498979532677,3.201735308782489,6.962025316455696
1.2965305120169033,2.9003213693477394,6.935897435897436
1.2970384147302132,1.434501588495697,4.985148514851486
1.2997653685838118,1.4166663503487338,4.9393939393939394
1.3003297478146343,1.69689317944374,5.909090909090909
1.3005232492652026,1.448895065310552,5.046875
1.302849766705748,1.7724878748111863,6.40625
1.3031981222583426,2.4588024098636057,6.753164556962025
1.3031981222583426,2.631306673436053,6.765822784810126
1.303554771990762,3.3114471982486564,6.967948717948718
1.3039200156926365,3.167381022119813,6.9935064935064934
1.3069429444487402,2.5974280372355354,6.756410256410256
1.3069429444487402,2.6352188480966245,6.769230769230769
1.3073441753977117,3.3283183763697957,7.012987012987013
1.307344175397712,3.766136942726212,7.025974025974026
1.307344175397712,3.7807494799420693,7.032467532467533
1.3077550745623208,2.5998355851989885,6.848684210526316
1.3086073098666957,1.4882664036426674,5.369565217391305
1.3106877666391379,3.637981334557807,7.025974025974026
1.3108891011655033,1.678948687131145,5.930232558139535
1.3111335788046616,3.656682123080092,7.0394736842105265
1.3125370615479761,2.8162605298236945,6.946666666666666
1.3125812160612491,1.6948481178867187,6.219512195121951
1.3126180873558377,1.522377729788262,5.461538461538462
1.312649340167442,1.4455021793930731,5.01595744680851
1.3147582255417443,1.5804362997441606,5.871951219512195
1.3149229822116115,1.9081962533319923,6.446666666666666
1.3152144747813772,1.594809534303872,5.95679012345679
1.315425192301689,3.157299668145188,7.0
1.3169291369564673,1.4498618960440892,5.327898550724638
1.317449251149578,1.411270745829655,4.981099656357388
1.318177411019933,2.459193540217623,6.785714285714286
1.3182530639934769,1.4955718612446967,5.5411985018726595
1.3182833965536234,1.4153335820552684,5.075438596491228
1.3187123856185614,1.42646118023572,5.092198581560284
1.3187123856185614,3.249255584496409,7.019736842105263
1.3191496244732097,1.432945104840614,5.173835125448029
1.3192602511713734,3.207804347785218,7.02
1.3192602511713736,2.6092298671271332,6.86
1.319963931697921,1.404329915241785,4.914089347079038
1.3208030909465343,1.687358382638513,6.301282051282051
1.3212863200081877,1.4129200246176439,5.070921985815603
1.3225017890255113,1.855238501463012,6.486666666666666
1.3225017890255113,2.3967747150695917,6.793333333333333
1.3225017890255113,2.9920060334597434,6.953333333333333
1.32297546445138,1.5029309757715938,5.570588235294117
1.3256670554007284,2.487061724795854,6.8
1.3257082072929307,1.645178070389294,6.08125
1.3262911924324612,1.9803359617250138,6.6118421052631575
1.3262911924324612,2.231015551457965,6.743243243243243
1.3262911924324612,2.4203579893328917,6.8108108108108105
1.3274969116983089,1.650094105771349,6.188311688311688
1.331704625870961,1.4564026948500461,5.525193798449613
1.3329226483946233,1.4934626580991734,5.6686507936507935
1.3335508915910388,1.5178463815770495,5.7971887550200805
1.333869999246361,2.2305337224580635,6.743243243243243
1.334192501663974,1.5012051903750379,5.684959349593496
1.3376594026533108,2.0349511375061224,6.719178082191781
1.3376594026533108,2.0690591862364722,6.732876712328767
1.343563821915303,1.6808298953172711,6.366666666666666
1.3452382094672106,1.851555596987508,6.636986301369863
1.3469534131145668,1.4794185696633435,5.681069958847737
1.3485386575958442,1.4940159822469474,5.786919831223629
1.3499407221288473,1.9187376211127147,6.6438356164383565
1.3499407221288475,2.2841074470408578,6.780821917808219
1.3528170162811104,1.8116618509653863,6.527397260273973
1.3537757809985314,2.01497139929581,6.743055555555555
1.3546676551542722,1.6737640663685216,6.358108108108108
1.3564341740786534,1.6472675780672246,6.22
1.3573904341860503,1.6368829955126187,6.236486486486487
1.3581221810508401,1.6350324509638052,6.1118421052631575
1.359075918537533,1.6085488238889658,6.153333333333333
1.359370455114306,1.8861922601411711,6.645833333333333
1.3603958230950104,1.8164784319140495,6.598591549295775
1.3603958230950104,1.842175699353497,6.605633802816901
1.3603958230950104,1.874256680163583,6.640845070422535
1.3614458987378997,1.8328729223190237,6.65
1.3620702106469185,1.6710768520444435,6.423611111111111
1.36418522650196,1.8275381229292367,6.628571428571429
1.3662289496877307,1.5706098744058175,6.042222222222223
1.3709028052688257,1.6111951552514472,6.207762557077625
1.3709028052688257,1.6153620093845436,6.221461187214612
