compactness_C,proximity_P,productivity_R
1.2732395447351619,3.097684021566732,6.367052023121388
1.2732395447351619,3.1267049504112356,6.378612716763006
1.273239544735162,2.248176620282852,5.873015873015873
1.273239544735162,2.6149258842639735,6.315028901734104
1.273239544735162,3.405281605662985,6.471556886227545
1.273239544735162,3.4116566429743993,6.483532934131737
1.273239544735162,3.4889963163970292,6.4895209580838324
1.2732395447351623,1.9272779899746242,5.616402116402116
1.2732395447351623,2.202870005951278,6.088571428571429
1.2732395447351623,2.4317728481659913,6.277142857142858
1.2732395447351623,2.4426765945839657,6.305714285714286
1.2732395447351623,3.308726876469608,6.413793103448276
1.2732395447351623,3.3933660013738383,6.774096385542169
1.2732395447351625,2.1488693669738077,6.2601744186046515
1.2732395447351625,2.4566248871033047,6.306686046511628
1.2732395447351625,3.215261378978717,6.566473988439307
1.2732395447351625,3.3786245946516487,6.624277456647399
1.2732395447351625,3.4634498944107373,6.7976190476190474
1.2732395447351625,3.486657130573767,6.863095238095238
1.2732395447351625,3.5575798249127066,6.979559748427673
1.2732395447351625,3.6212468697752147,6.998427672955975
1.2732395447351625,3.78802248553898,7.022012578616352
1.2732395447351625,3.8236672565845278,7.034591194968553
1.2732395447351625,3.999911215487055,7.042944785276074
1.2732395447351625,4.067015709184855,7.0552147239263805
1.2732395447351625,4.07656871323703,7.07361963190184
1.2732395447351625,4.078465912175183,7.080246913580247
1.2732395447351625,4.085702591753228,7.092592592592593
1.2732395447351625,4.08907056880833,7.098765432098766
1.2732395447351625,4.0915351878802255,7.1125
1.2732395447351625,4.121200269498291,7.117283950617284
1.2732395447351625,4.128363665908669,7.1234567901234565
1.2732395447351625,4.13782759468715,7.159509202453988
1.2732395447351625,4.153441587843044,7.172839506172839
1.2732395447351628,1.693826588899342,5.194581280788177
1.2732395447351628,1.9258511311554576,5.396984924623116
1.2732395447351628,2.4607245794511785,6.330459770114943
1.2732395447351628,2.496084528072919,6.370689655172414
1.2732395447351628,2.5519305370201693,6.405172413793103
1.2732395447351628,2.800011701493776,6.663109756097561
1.2732395447351628,2.8914322681464317,6.7
1.2732395447351628,3.232510780216745,6.86060606060606
1.2732395447351628,3.5927990489742747,7.034375
1.2732395447351628,3.596270597247232,7.071875
1.2732395447351628,3.674933898156769,7.093949044585988
1.2732395447351628,3.713891800964252,7.106687898089172
1.2732395447351628,3.8481354686475786,7.1130573248407645
1.2732395447351628,3.861583346113223,7.125796178343949
1.2732395447351628,3.994515171101066,7.138535031847134
1.2732395447351628,4.035937388246718,7.1449044585987265
1.273239544735163,1.9564580342863596,5.9375
1.273239544735163,3.244874508601408,6.86144578313253
1.273239544735163,3.4490729625266616,6.941358024691358
1.2732395447351632,3.0393214700749107,6.730994152046784
1.2747269741098537,1.6740630822983837,4.877934272300469
1.2750278025227118,2.4957974560087854,6.370689655172414
1.2750481236339335,2.5371646749293726,6.415697674418604
1.2751804586753077,3.8465506936278175,7.125796178343949
1.275180458675308,3.4158172105515363,7.012269938650307
1.275180458675308,3.493942887549392,7.046875
1.2751923661227935,4.089349853409176,7.166666666666667
1.2752044205758033,4.136364729817411,7.173913043478261
1.2764226435970016,1.8096267236830856,5.320707070707071
1.2764711171837286,1.8029781187044762,5.5703125
1.276643928544615,1.95972334851872,5.964285714285714
1.2767374555723479,2.0906454620414014,6.093390804597701
1.2768160603102614,2.409896504609517,6.35
1.2768160603102616,2.1253092328929837,6.1875
1.2768160603102616,2.3935993003329767,6.298529411764706
1.2770289481421127,2.508762290157227,6.5920245398773005
1.2789236498455876,2.6833534500230436,6.657407407407407
1.2789576864031356,3.016831029824121,6.8229813664596275
1.2804329884907286,2.3436036719025215,6.273529411764706
1.280599310889701,2.281246194952201,6.358895705521473
1.2810032004957432,3.920444783998503,7.128246753246753
1.2828852988619446,3.3704812548153495,6.897119341563785
1.2829342620808617,1.7619135734333244,5.419689119170984
1.2830036516733159,3.6668666676988955,7.075949367088608
1.2830036516733159,3.949118679911796,7.138709677419355
1.2842791939669704,2.187257978493116,6.490683229813665
1.2842791939669704,2.458137920714145,6.4939024390243905
1.2847447213442156,3.099971323610456,6.843949044585988
1.285601093713174,1.670088756359596,5.15
1.286365725608721,1.6421397860598126,5.608333333333333
1.2865818752937652,2.8326489057518263,6.850318471337579
1.2867846462748984,1.8250624109853302,5.963276836158192
1.286909294448577,4.028948876785987,7.176470588235294
1.2869092944485772,3.9564640562869187,7.142207792207793
1.2869092944485772,3.973295962374024,7.173202614379085
1.2879590770442395,2.4652167840420938,6.494918699186992
1.2883971583629623,2.6025068714288304,6.751623376623376
1.2888621158362077,3.8304558370251294,7.121710526315789
1.2888621158362077,4.047786298725139,7.177631578947368
1.288862115836208,3.9916861915895137,7.180645161290323
1.2889585514602875,3.581586022395341,7.049668874172186
1.2906335275867358,1.957422029756561,6.126470588235295
1.2908149372238382,3.9754576794264103,7.175324675324675
1.2924148390835841,3.3221568147183667,6.977124183006536
1.294332368518426,3.0221522960608476,6.8980263157894735
1.2946986381857553,1.9851573341055277,6.217791411042945
1.295708477877548,2.1834469071738325,6.614743589743591
1.2964868959733047,2.04326682851204,6.232723577235773
1.2965305120169035,3.839387020754407,7.144736842105263
1.2966182369407515,2.1590104699595325,6.307453416149069
1.2966734013867303,3.630830243332072,7.111486486486487
1.2972896250246049,1.5506703527142378,4.6415094339622645
1.2984714259570485,3.517181443443725,7.050675675675675
1.2986262227743608,3.948870389418347,7.171052631578948
1.298850685002824,2.047753827171065,6.467532467532467
1.2989096968467588,1.7795139311078212,5.991071428571429
1.2999242058523672,2.6858081689428355,6.83
1.3000445877822187,1.683580014158648,5.769005847953216
1.3002476562901508,3.3763074001086055,7.046357615894039
1.3004123398971936,3.875916767693746,7.17
1.3005790441619915,3.6671000826139313,7.154109589041096
1.3005790441619915,3.815888835455984,7.167785234899329
1.3005790441619915,3.8693593438456073,7.181208053691275
1.301377435226548,1.9863955378753158,6.2253086419753085
1.3020024862577944,2.7020005326833205,6.861486486486487
1.3031360533822591,1.9460929958894728,6.239130434782608
1.3039200156926365,3.201761586859174,6.956375838926174
1.3042941677774837,3.6976923469150615,7.162068965517242
1.3047389605554334,1.6045315125445692,5.726744186046512
1.3058375451274786,3.250141676431294,6.956666666666667
1.3062350817176287,3.8354416397346185,7.183673469387755
1.3079642595915766,2.88781824418363,6.938775510204081
1.3081759956577739,3.644022323073072,7.116438356164384
1.3081759956577739,3.722037057205708,7.171232876712328
1.3081759956577739,3.769233209384943,7.191780821917808
